panel,dataset_id,cohort_label,evaluation_scope,n_participants,n_decisions,decision_length_context,model_name,cap_label,cap_display,cap_rank,metric,panel_definition,estimate_raw,ci_low_raw,ci_high_raw,display_scale,plotted_estimate,plotted_ci_low,plotted_ci_high,confidence_level,bootstrap_unit,bootstrap_method,bootstrap_replicates,finite_replicates,interval_scope,cap_unit,cross_cohort_cap_interpretation
a,many_labs_igt,Many Labs,participant_grouped_outer_cv,617,66525,95 decisions for 15 participants; 100 for 504; 150 for 98; mean 107.82,hist_gradient_boosting,2,2,0,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.0538573028526,0.0516211323905,0.0563149525018,100,5.38573028526,5.16211323905,5.63149525018,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
a,mendeley_igt_official_v2,Mendeley cohort,frozen_external_official_v2_same_task,59,11800,200 decisions for each of 59 participants,hist_gradient_boosting,2,2,0,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.023131365441,0.0206475120062,0.0258533190227,100,2.3131365441,2.06475120062,2.58533190227,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
a,many_labs_igt,Many Labs,participant_grouped_outer_cv,617,66525,95 decisions for 15 participants; 100 for 504; 150 for 98; mean 107.82,hist_gradient_boosting,4,4,1,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.0850846564332,0.0820342388808,0.0886596477925,100,8.50846564332,8.20342388808,8.86596477925,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
a,mendeley_igt_official_v2,Mendeley cohort,frozen_external_official_v2_same_task,59,11800,200 decisions for each of 59 participants,hist_gradient_boosting,4,4,1,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.0367685137235,0.0335679546291,0.0403328666639,100,3.67685137235,3.35679546291,4.03328666639,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
a,many_labs_igt,Many Labs,participant_grouped_outer_cv,617,66525,95 decisions for 15 participants; 100 for 504; 150 for 98; mean 107.82,hist_gradient_boosting,6,6,2,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.115916727057,0.111693927101,0.120317331952,100,11.5916727057,11.1693927101,12.0317331952,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
a,mendeley_igt_official_v2,Mendeley cohort,frozen_external_official_v2_same_task,59,11800,200 decisions for each of 59 participants,hist_gradient_boosting,6,6,2,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.0500604177456,0.0461986523562,0.054154768815,100,5.00604177456,4.61986523562,5.4154768815,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
a,many_labs_igt,Many Labs,participant_grouped_outer_cv,617,66525,95 decisions for 15 participants; 100 for 504; 150 for 98; mean 107.82,hist_gradient_boosting,8,8,3,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.144739442651,0.139567913627,0.149971991359,100,14.4739442651,13.9567913627,14.9971991359,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
a,mendeley_igt_official_v2,Mendeley cohort,frozen_external_official_v2_same_task,59,11800,200 decisions for each of 59 participants,hist_gradient_boosting,8,8,3,event_coverage_by_action,proxy-positive choices routed to alert or review divided by all proxy-positive choices,0.0643880545486,0.0599174988084,0.0694858820495,100,6.43880545486,5.99174988084,6.94858820495,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
b,many_labs_igt,Many Labs,participant_grouped_outer_cv,617,66525,95 decisions for 15 participants; 100 for 504; 150 for 98; mean 107.82,hist_gradient_boosting,2,2,0,false_alerts_per_100,automated false alerts only per 100 decisions,0.47801578354,0.433960904847,0.525495818414,1,0.47801578354,0.433960904847,0.525495818414,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
b,mendeley_igt_official_v2,Mendeley cohort,frozen_external_official_v2_same_task,59,11800,200 decisions for each of 59 participants,hist_gradient_boosting,2,2,0,false_alerts_per_100,automated false alerts only per 100 decisions,0.381355932203,0.296610169492,0.466101694915,1,0.381355932203,0.296610169492,0.466101694915,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
b,many_labs_igt,Many Labs,participant_grouped_outer_cv,617,66525,95 decisions for 15 participants; 100 for 504; 150 for 98; mean 107.82,hist_gradient_boosting,4,4,1,false_alerts_per_100,automated false alerts only per 100 decisions,0.882375046975,0.812030933015,0.956861066326,1,0.882375046975,0.812030933015,0.956861066326,0.95,participant,cluster percentile; participants sampled with replacement,2000,2000,"conditional on frozen predictions, thresholds, and routing rules",automated-alert slots per participant,descriptive only because decisions per participant differ by cohort
