panel,series_id,series_label,case,category_label,workers,repetition,n_requests,capacity,metric,estimate_raw,range_low_raw,range_high_raw,plotted_estimate,plotted_range_low,plotted_range_high,range_type,numerator,denominator,source_file,source_selector,estimand_boundary,expected_plotted_estimate,expected_plotted_range_low,expected_plotted_range_high,estimate_abs_diff,range_low_abs_diff,range_high_abs_diff,point_range_check
a,transactional_reservation,ECRC transactional reservation,concurrent_24_cap3,24 requests cap 3,16,0,24,3,capacity_bearing_admissions_divided_by_capacity,1,,,1,,,none_deterministic_exact_count,3,3,evidence_systems/systems_performance_runs.csv,case=concurrent_24_cap3;repetition=0,Exact trusted single-node simulated count; no sampling interval or distributed-atomicity claim.,1,,,0,,,PASS
a,transactional_reservation,ECRC transactional reservation,concurrent_24_cap3,24 requests cap 3,16,1,24,3,capacity_bearing_admissions_divided_by_capacity,1,,,1,,,none_deterministic_exact_count,3,3,evidence_systems/systems_performance_runs.csv,case=concurrent_24_cap3;repetition=1,Exact trusted single-node simulated count; no sampling interval or distributed-atomicity claim.,1,,,0,,,PASS
a,transactional_reservation,ECRC transactional reservation,concurrent_24_cap3,24 requests cap 3,16,2,24,3,capacity_bearing_admissions_divided_by_capacity,1,,,1,,,none_deterministic_exact_count,3,3,evidence_systems/systems_performance_runs.csv,case=concurrent_24_cap3;repetition=2,Exact trusted single-node simulated count; no sampling interval or distributed-atomicity claim.,1,,,0,,,PASS
a,transactional_reservation,ECRC transactional reservation,concurrent_96_cap8,96 requests cap 8,16,0,96,8,capacity_bearing_admissions_divided_by_capacity,1,,,1,,,none_deterministic_exact_count,8,8,evidence_systems/systems_performance_runs.csv,case=concurrent_96_cap8;repetition=0,Exact trusted single-node simulated count; no sampling interval or distributed-atomicity claim.,1,,,0,,,PASS
a,transactional_reservation,ECRC transactional reservation,concurrent_96_cap8,96 requests cap 8,16,1,96,8,capacity_bearing_admissions_divided_by_capacity,1,,,1,,,none_deterministic_exact_count,8,8,evidence_systems/systems_performance_runs.csv,case=concurrent_96_cap8;repetition=1,Exact trusted single-node simulated count; no sampling interval or distributed-atomicity claim.,1,,,0,,,PASS
a,transactional_reservation,ECRC transactional reservation,concurrent_96_cap8,96 requests cap 8,16,2,96,8,capacity_bearing_admissions_divided_by_capacity,1,,,1,,,none_deterministic_exact_count,8,8,evidence_systems/systems_performance_runs.csv,case=concurrent_96_cap8;repetition=2,Exact trusted single-node simulated count; no sampling interval or distributed-atomicity claim.,1,,,0,,,PASS
a,unsafe_non_atomic_witness,Constructed non-atomic witness,unsafe_cap1,Constructed witness cap 1,2,,2,1,logical_capacity_acceptances_divided_by_capacity,2,,,2,,,none_single_constructed_witness,2,1,evidence_systems/systems_unsafe_race_witness.json,fixture_type=unsafe_non_atomic_race_witness,Logical acceptances in one barrier-forced witness; not a production or performance comparator.,2,,,0,,,PASS
b,single_node_worker_sweep,ECRC single-node worker sweep,worker_sweep_96_cap8_w1,1,1,,96,8,end_to_end_p95_latency_ms,17.6291,17.009125,17.65455,17.6291,17.009125,17.65455,observed_min_max_across_three_measured_runs_not_ci,,,evidence_systems/systems_performance_aggregate.csv + evidence_systems/systems_performance_runs.csv,case=worker_sweep_96_cap8_w1;metric=end_to_end_latency.p95_ms;aggregate=median_minimum_maximum,Descriptive timing over three runs on the recorded Windows/Python/SQLite WAL host with simulated side effects; range is not a confidence interval and does not establish performance portability.,17.6291,17.009125,17.65455,0,0,0,PASS
b,single_node_worker_sweep,ECRC single-node worker sweep,worker_sweep_96_cap8_w2,2,2,,96,8,end_to_end_p95_latency_ms,51.548625,43.13815,57.74185,51.548625,43.13815,57.74185,observed_min_max_across_three_measured_runs_not_ci,,,evidence_systems/systems_performance_aggregate.csv + evidence_systems/systems_performance_runs.csv,case=worker_sweep_96_cap8_w2;metric=end_to_end_latency.p95_ms;aggregate=median_minimum_maximum,Descriptive timing over three runs on the recorded Windows/Python/SQLite WAL host with simulated side effects; range is not a confidence interval and does not establish performance portability.,51.548625,43.13815,57.74185,0,0,0,PASS
b,single_node_worker_sweep,ECRC single-node worker sweep,worker_sweep_96_cap8_w4,4,4,,96,8,end_to_end_p95_latency_ms,72.799375,68.078475,100.343375,72.799375,68.078475,100.343375,observed_min_max_across_three_measured_runs_not_ci,,,evidence_systems/systems_performance_aggregate.csv + evidence_systems/systems_performance_runs.csv,case=worker_sweep_96_cap8_w4;metric=end_to_end_latency.p95_ms;aggregate=median_minimum_maximum,Descriptive timing over three runs on the recorded Windows/Python/SQLite WAL host with simulated side effects; range is not a confidence interval and does not establish performance portability.,72.799375,68.078475,100.343375,0,0,0,PASS
