manuscript_item,panel,source_file,local_snapshot,row_key_or_filter,transformation,evidence_type,source_sha256
Figure 1,a/b,build_figures.py#fig1,build_figures.py#fig1,"{""budget"": 1, ""distinct_requests"": [""A"", ""B""]}",Constructed illustrative event chains; no observed outcome or full-implementation failure used.,illustrative counterexample,1bda7e9829dbd409434a1d77913b34871d1847be8877db5f85fbe591f4838498
Figure 1,b,AIR-014_IASC_Reproducibility/end_to_end/PROTOCOL.md,data/input/S8_PROTOCOL.md,"{""rule"": ""retain unknown armed grants""}","Specified retention rule used in the illustrative chain; values are hypothetical, not an observed experiment.",specified recovery rule applied illustratively,d618e794fc6ba5f785147f6796e09e548c28045aa105416c092bf3d400c34537
Figure 2,lifecycle,AIR-014_IASC_Reproducibility/end_to_end/PROTOCOL.md,data/input/S8_PROTOCOL.md,"{""boundary"": ""journal/issue/arm/sink/reconcile/cleanup""}",Qualitative state/transaction schematic from implementation and locked protocols; no behavioral-to-S8 pipeline implied.,specified implementation boundary,d618e794fc6ba5f785147f6796e09e548c28045aa105416c092bf3d400c34537
Figure 2,lifecycle,AIR-014_IASC_Reproducibility/end_to_end/PROTOCOL_AMENDMENTS.md,data/input/S8_PROTOCOL_AMENDMENTS.md,"{""boundary"": ""journal/issue/arm/sink/reconcile/cleanup""}",Qualitative state/transaction schematic from implementation and locked protocols; no behavioral-to-S8 pipeline implied.,specified implementation boundary,2706d230eef51b0927b130ab6fa7be223d7cee7641a3a1856df226c281811600
Figure 2,lifecycle,AIR-014_IASC_Reproducibility/end_to_end/ecrc_e2e.py,data/input/ecrc_e2e.py,"{""boundary"": ""journal/issue/arm/sink/reconcile/cleanup""}",Qualitative state/transaction schematic from implementation and locked protocols; no behavioral-to-S8 pipeline implied.,specified implementation boundary,554b5a35c764c47d9b5e7c4419192a36d601807eb8937b0709a120a03a24060a
Figure 2,lifecycle,AIR-014_IASC_Reproducibility/end_to_end/ordinary_e2e.py,data/input/ordinary_e2e.py,"{""boundary"": ""journal/issue/arm/sink/reconcile/cleanup""}",Qualitative state/transaction schematic from implementation and locked protocols; no behavioral-to-S8 pipeline implied.,specified implementation boundary,1ad85d855dc9e80daecf1b33cc92ba1f17fdb1019a84a14db05fe712f8fcab68
Figure 2,lifecycle,AIR-014_IASC_Reproducibility/runtime/PROTOCOL.md,data/input/S6_PROTOCOL.md,"{""boundary"": ""journal/issue/arm/sink/reconcile/cleanup""}",Qualitative state/transaction schematic from implementation and locked protocols; no behavioral-to-S8 pipeline implied.,specified implementation boundary,5113074d3064befdf21660f97d20faac0c09777c42b591864c8a9409f0950b40
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/issued_unarmed_before_expiry/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/issued_unarmed_before_expiry/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,b398d09d784f1a35e85dcf0ae932d30fd11fe72b1ae12e2e43099dd5fefb6bcc
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/issued_unarmed_before_expiry/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/issued_unarmed_before_expiry/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/expired_unarmed_cancelled/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/expired_unarmed_cancelled/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,e0cabf8e2eacc73e160d7b744fb0d9857ed2a7a87bc75ae0fccd98dad2bd98d9
