dataset_id,subject_id,study_id,outer_fold
many_labs_igt,many_labs_100_001,Horstmann,3
many_labs_igt,many_labs_100_002,Horstmann,4
many_labs_igt,many_labs_100_003,Horstmann,3
many_labs_igt,many_labs_100_004,Horstmann,0
many_labs_igt,many_labs_100_005,Horstmann,1
many_labs_igt,many_labs_100_006,Horstmann,4
many_labs_igt,many_labs_100_007,Horstmann,2
many_labs_igt,many_labs_100_008,Horstmann,2
many_labs_igt,many_labs_100_009,Horstmann,1
many_labs_igt,many_labs_100_010,Horstmann,2
many_labs_igt,many_labs_100_011,Horstmann,0
many_labs_igt,many_labs_100_012,Horstmann,0
many_labs_igt,many_labs_100_013,Horstmann,3
many_labs_igt,many_labs_100_014,Horstmann,0
many_labs_igt,many_labs_100_015,Horstmann,4
many_labs_igt,many_labs_100_016,Horstmann,2
many_labs_igt,many_labs_100_017,Horstmann,4
many_labs_igt,many_labs_100_018,Horstmann,4
many_labs_igt,many_labs_100_019,Horstmann,4
many_labs_igt,many_labs_100_020,Horstmann,1
many_labs_igt,many_labs_100_021,Horstmann,1
many_labs_igt,many_labs_100_022,Horstmann,2
many_labs_igt,many_labs_100_023,Horstmann,1
many_labs_igt,many_labs_100_024,Horstmann,3
many_labs_igt,many_labs_100_025,Horstmann,2
many_labs_igt,many_labs_100_026,Horstmann,3
many_labs_igt,many_labs_100_027,Horstmann,0
many_labs_igt,many_labs_100_028,Horstmann,1
many_labs_igt,many_labs_100_029,Horstmann,2
many_labs_igt,many_labs_100_030,Horstmann,4
many_labs_igt,many_labs_100_031,Horstmann,0
many_labs_igt,many_labs_100_032,Horstmann,0
many_labs_igt,many_labs_100_033,Horstmann,3
many_labs_igt,many_labs_100_034,Horstmann,0
many_labs_igt,many_labs_100_035,Horstmann,3
many_labs_igt,many_labs_100_036,Horstmann,3
many_labs_igt,many_labs_100_037,Horstmann,2
many_labs_igt,many_labs_100_038,Horstmann,0
many_labs_igt,many_labs_100_039,Horstmann,4
many_labs_igt,many_labs_100_040,Horstmann,1
many_labs_igt,many_labs_100_041,Horstmann,2
many_labs_igt,many_labs_100_042,Horstmann,3
many_labs_igt,many_labs_100_043,Horstmann,4
many_labs_igt,many_labs_100_044,Horstmann,2
many_labs_igt,many_labs_100_045,Horstmann,0
many_labs_igt,many_labs_100_046,Horstmann,2
many_labs_igt,many_labs_100_047,Horstmann,2
many_labs_igt,many_labs_100_048,Horstmann,3
many_labs_igt,many_labs_100_049,Horstmann,2
many_labs_igt,many_labs_100_050,Horstmann,0
many_labs_igt,many_labs_100_051,Horstmann,0
many_labs_igt,many_labs_100_052,Horstmann,0
many_labs_igt,many_labs_100_053,Horstmann,1
many_labs_igt,many_labs_100_054,Horstmann,3
many_labs_igt,many_labs_100_055,Horstmann,3
many_labs_igt,many_labs_100_056,Horstmann,4
many_labs_igt,many_labs_100_057,Horstmann,0
many_labs_igt,many_labs_100_058,Horstmann,0
many_labs_igt,many_labs_100_059,Horstmann,1
many_labs_igt,many_labs_100_060,Horstmann,1
many_labs_igt,many_labs_100_061,Horstmann,1
many_labs_igt,many_labs_100_062,Horstmann,1
many_labs_igt,many_labs_100_063,Horstmann,1
many_labs_igt,many_labs_100_064,Horstmann,0
many_labs_igt,many_labs_100_065,Horstmann,4
many_labs_igt,many_labs_100_066,Horstmann,0
many_labs_igt,many_labs_100_067,Horstmann,0
many_labs_igt,many_labs_100_068,Horstmann,3
many_labs_igt,many_labs_100_069,Horstmann,3
many_labs_igt,many_labs_100_070,Horstmann,1
many_labs_igt,many_labs_100_071,Horstmann,2
many_labs_igt,many_labs_100_072,Horstmann,2
many_labs_igt,many_labs_100_073,Horstmann,0
many_labs_igt,many_labs_100_074,Horstmann,3
many_labs_igt,many_labs_100_075,Horstmann,0
many_labs_igt,many_labs_100_076,Horstmann,3
many_labs_igt,many_labs_100_077,Horstmann,0
many_labs_igt,many_labs_100_078,Horstmann,4
many_labs_igt,many_labs_100_079,Horstmann,0
many_labs_igt,many_labs_100_080,Horstmann,4
many_labs_igt,many_labs_100_081,Horstmann,1
many_labs_igt,many_labs_100_082,Horstmann,0
many_labs_igt,many_labs_100_083,Horstmann,2
many_labs_igt,many_labs_100_084,Horstmann,0
many_labs_igt,many_labs_100_085,Horstmann,4
many_labs_igt,many_labs_100_086,Horstmann,3
many_labs_igt,many_labs_100_087,Horstmann,4
many_labs_igt,many_labs_100_088,Horstmann,1
many_labs_igt,many_labs_100_089,Horstmann,4
many_labs_igt,many_labs_100_090,Horstmann,3
many_labs_igt,many_labs_100_091,Horstmann,4
many_labs_igt,many_labs_100_092,Horstmann,3
many_labs_igt,many_labs_100_093,Horstmann,1
many_labs_igt,many_labs_100_094,Horstmann,1
