manuscript_item,source_file,row_key,transformation,evidence_status
Table 4,end_to_end/out/S8_state_table.csv,scenario=distinct_contenders; checkpoint=after_competition,"Select by scenario and checkpoint; independently reconstruct all six observations from saved SQLite pairs; retain counts, no statistical interval.",Retained result; independently selected/recomputed
Table 4,end_to_end/out/S8_state_table.csv,scenario=mixed_claim_fallback; checkpoint=unsupported_claim_released,"Select by scenario and checkpoint; independently reconstruct all six observations from saved SQLite pairs; retain counts, no statistical interval.",Retained result; independently selected/recomputed
Table 4,end_to_end/out/S8_state_table.csv,scenario=kill_during_issuance; checkpoint=after_inflight_issue_kill,"Select by scenario and checkpoint; independently reconstruct all six observations from saved SQLite pairs; retain counts, no statistical interval.",Retained result; independently selected/recomputed
Table 4,end_to_end/out/S8_state_table.csv,scenario=kill_after_issue_resume; checkpoint=early_cleanup_retained,"Select by scenario and checkpoint; independently reconstruct all six observations from saved SQLite pairs; retain counts, no statistical interval.",Retained result; independently selected/recomputed
Table 4,end_to_end/out/S8_state_table.csv,scenario=expired_unarmed_cleanup; checkpoint=expired_unarmed_cancelled,"Select by scenario and checkpoint; independently reconstruct all six observations from saved SQLite pairs; retain counts, no statistical interval.",Retained result; independently selected/recomputed
Table 4,end_to_end/out/S8_state_table.csv,scenario=accepted_timeout_cleanup_recovery; checkpoint=cleanup_retained_unknown_grant,"Select by scenario and checkpoint; independently reconstruct all six observations from saved SQLite pairs; retain counts, no statistical interval.",Retained result; independently selected/recomputed
Table 5A,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=many_labs_igt; model_name=hist_gradient_boosting; metric=alert_precision; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=many_labs_igt; model_name=hist_gradient_boosting; metric=alert_coverage; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B volumes,statistics/input/a4_permission_grid.csv,"dataset_id=many_labs_igt; model_name=hist_gradient_boosting; arm in (separate_capacity_8_2, capacity_off)",Read n_alert and n_review; display fixed-to-removed integer totals. Cross-check n_alert and pooled precision against S7 arm estimates.,Retained result; independently selected/recomputed
Table 5A,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=many_labs_igt; model_name=regularised_logistic; metric=alert_precision; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=many_labs_igt; model_name=regularised_logistic; metric=alert_coverage; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B volumes,statistics/input/a4_permission_grid.csv,"dataset_id=many_labs_igt; model_name=regularised_logistic; arm in (separate_capacity_8_2, capacity_off)",Read n_alert and n_review; display fixed-to-removed integer totals. Cross-check n_alert and pooled precision against S7 arm estimates.,Retained result; independently selected/recomputed
Table 5A,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=many_labs_igt; model_name=history_baseline; metric=alert_precision; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
